timestamp,graph_nodes,graph_edges,insertion_time_nodes,insertion_time_edges
2026-06-10T21:17:38.213508,35736,126083,512,358
2026-06-10T21:20:57.056993,35736,126083,13,43
2026-06-10T21:24:34.108157,35739,126083,138,288
2026-06-10T21:28:07.022298,35739,126087,49,204
2026-06-10T21:31:39.835169,35739,126087,10,99
2026-06-10T21:35:13.048474,35739,126087,12,182
2026-06-10T21:38:46.055408,35739,126087,18,190
2026-06-10T21:42:18.858088,35739,126087,9,105
2026-06-10T21:45:51.908889,35739,126087,9,120
2026-06-10T21:49:25.323669,35739,126087,27,288
2026-06-10T21:52:58.463493,35739,126087,23,371
2026-06-10T21:56:31.076583,35739,126087,48,164
2026-06-10T22:00:04.282787,35739,126087,17,268
2026-06-10T22:03:37.239541,35739,126087,49,264
2026-06-10T22:07:10.218335,35739,126087,21,300
2026-06-10T22:10:43.463456,35739,126087,25,422
2026-06-10T22:14:16.562437,35739,126087,26,355
2026-06-10T22:17:50.965777,35739,126089,27,831
2026-06-10T22:21:22.297273,35739,126089,18,186
2026-06-10T22:24:55.584808,35739,126089,22,403
2026-06-10T22:28:28.481048,35739,126089,136,293
2026-06-10T22:32:01.443156,35739,126089,17,296
2026-06-10T22:35:34.512467,35739,126089,21,358
2026-06-10T22:39:07.622751,35739,126089,23,369
2026-06-10T22:42:40.229717,35739,126089,13,1
2026-06-10T22:46:13.005856,35739,126089,9,0
2026-06-10T22:49:46.023914,35740,126089,14,0
2026-06-10T22:53:27.284884,35742,126089,66,436
2026-06-10T22:57:04.667708,35743,126093,29,120
2026-06-10T23:00:38.265132,35743,126096,44,1
2026-06-10T23:04:11.329420,35743,126096,31,394
2026-06-10T23:07:43.864502,35744,126096,49,0
2026-06-10T23:11:16.795217,35744,126096,13,0
2026-06-10T23:14:57.415722,35745,126096,111,518
2026-06-10T23:18:30.529689,35745,126102,16,247
2026-06-10T23:22:03.130726,35745,126102,18,234
2026-06-10T23:25:37.381790,35746,126102,9,1541
2026-06-10T23:29:08.776487,35748,126103,8,0
2026-06-10T23:32:43.014613,35748,126108,26,405
2026-06-10T23:36:23.479884,35749,126109,92,325
2026-06-10T23:39:55.990192,35750,126112,13,1
2026-06-10T23:43:29.031099,35750,126112,12,0
2026-06-10T23:47:07.939191,35751,126112,48,260
2026-06-10T23:50:50.014845,35755,126115,181,781
2026-06-10T23:54:22.133022,35755,126124,22,226
2026-06-10T23:58:03.497663,35756,126124,370,2137
2026-06-11T00:01:41.122624,35757,126149,37,213
2026-06-11T00:05:15.525730,35757,126157,364,307
2026-06-11T00:08:47.163641,35758,126157,18,0
2026-06-11T00:12:20.160574,35759,126157,9,0
2026-06-11T00:15:53.401441,35759,126157,19,157
2026-06-11T00:19:26.098978,35760,126157,8,1
2026-06-11T00:23:00.158983,35761,126157,20,592
2026-06-11T00:26:39.580986,35762,126167,35,162
2026-06-11T00:30:12.647334,35762,126169,15,220
2026-06-11T00:33:51.305680,35763,126169,87,440
2026-06-11T00:37:25.830120,35764,126179,87,679
2026-06-11T00:40:57.546601,35765,126189,31,319
2026-06-11T00:44:30.101040,35766,126192,14,74
2026-06-11T00:48:03.243638,35767,126193,13,232
2026-06-11T00:51:43.622683,35768,126196,79,533
2026-06-11T00:55:21.298657,35769,126203,29,218
2026-06-11T00:59:00.462082,35770,126206,79,528
2026-06-11T01:02:33.171122,35770,126212,12,230
2026-06-11T01:06:06.546275,35771,126216,63,0
2026-06-11T01:09:39.422560,35772,126216,18,223
2026-06-11T01:13:20.888940,35773,126218,66,376
2026-06-11T01:16:53.828009,35773,126223,13,212
2026-06-11T01:20:33.712428,35774,126223,63,448
2026-06-11T01:24:12.771609,35775,126228,30,204
2026-06-11T01:27:45.903513,35776,126232,12,198
2026-06-11T01:31:24.545508,35777,126235,92,599
2026-06-11T01:34:57.327418,35777,126245,8,273
2026-06-11T01:38:37.506023,35778,126245,84,218
2026-06-11T01:42:10.489975,35778,126248,11,161
2026-06-11T01:45:43.328635,35778,126248,11,168
2026-06-11T01:49:21.880623,35780,126248,82,592
2026-06-11T01:52:54.271510,35780,126254,13,0
2026-06-11T01:56:33.383681,35781,126254,144,837
2026-06-11T02:00:15.401482,35782,126264,605,3389
2026-06-11T02:03:46.862521,35783,126309,16,61
2026-06-11T02:07:31.046579,35784,126311,429,2740
2026-06-11T02:11:05.442024,35785,126345,32,140
2026-06-11T02:14:38.646964,35786,126347,16,186
2026-06-11T02:18:17.768152,35789,126350,169,934
2026-06-11T02:21:56.500204,35790,126363,244,1344
2026-06-11T02:25:32.933016,35791,126381,39,202
2026-06-11T02:29:11.256143,35792,126384,30,161
2026-06-11T02:32:44.451653,35793,126386,12,216
2026-06-11T02:36:18.285634,35794,126391,78,296
2026-06-11T02:39:57.953217,35795,126394,75,371
2026-06-11T02:43:30.716906,35795,126400,13,75
2026-06-11T02:47:03.570584,35796,126400,9,61
2026-06-11T02:50:36.572851,35797,126401,14,75
2026-06-11T02:54:10.315134,35798,126402,8,775
2026-06-11T02:57:42.637439,35798,126406,8,142
2026-06-11T03:01:15.547511,35798,126409,4,77
2026-06-11T03:04:56.813009,35799,126409,203,347
2026-06-11T03:08:28.989139,35800,126415,9,0
2026-06-11T03:12:02.327010,35800,126415,14,200
2026-06-11T03:15:34.974473,35800,126415,10,0
2026-06-11T03:19:12.612140,35801,126415,34,222
2026-06-11T03:22:45.700923,35801,126419,12,107
2026-06-11T03:26:18.709678,35802,126419,11,154
2026-06-11T03:29:55.244241,35803,126425,27,160
2026-06-11T03:33:28.789910,35803,126430,65,0
2026-06-11T03:37:01.209227,35803,126430,8,1
2026-06-11T03:40:42.566894,35804,126430,182,582
2026-06-11T03:44:15.349035,35805,126438,18,484
2026-06-11T03:47:47.834727,35806,126446,12,152
2026-06-11T03:51:20.727747,35807,126448,11,68
2026-06-11T03:54:59.786011,35808,126449,46,407
2026-06-11T03:58:34.396552,35809,126454,16,1900
2026-06-11T04:02:08.890593,35810,126460,55,119
2026-06-11T04:05:49.711919,35811,126463,116,417
2026-06-11T04:09:22.544183,35811,126468,21,237
2026-06-11T04:12:55.532101,35812,126468,15,214
2026-06-11T04:16:36.616552,35813,126471,332,2859
2026-06-11T04:20:06.617656,35814,126496,18,303
2026-06-11T04:23:45.190093,35815,126500,91,581
2026-06-11T04:27:23.683515,35818,126508,124,783
2026-06-11T04:30:56.127306,35819,126518,12,340
2026-06-11T04:34:28.623614,35820,126526,6,0
2026-06-11T04:38:10.941860,35821,126526,329,428
2026-06-11T04:41:47.474160,35822,126531,43,270
2026-06-11T04:45:20.346113,35823,126534,20,139
2026-06-11T04:48:53.214883,35823,126536,10,0
2026-06-11T04:52:26.262923,35823,126536,11,0
2026-06-11T04:56:04.759613,35824,126536,51,339
2026-06-11T04:59:43.038159,35825,126541,40,311
2026-06-11T05:03:24.902787,35826,126549,221,634
2026-06-11T05:06:56.866733,35826,126557,19,301
2026-06-11T05:10:30.752549,35826,126557,14,1177
2026-06-11T05:14:03.459852,35827,126557,30,526
2026-06-11T05:17:35.464465,35828,126564,7,0
2026-06-11T05:21:16.011716,35829,126564,48,338
2026-06-11T05:24:53.940292,35830,126569,24,102
2026-06-11T05:28:32.460770,35831,126571,83,350
2026-06-11T05:32:15.227405,35832,126576,656,3623
2026-06-11T05:35:51.559767,35833,126631,205,258
2026-06-11T05:39:24.101978,35833,126634,17,250
2026-06-11T05:42:56.651013,35833,126634,16,0
2026-06-11T05:46:30.092523,35834,126634,17,290
2026-06-11T05:50:07.554169,35835,126638,27,275
2026-06-11T05:53:40.331481,35835,126641,13,59
2026-06-11T05:57:13.700726,35836,126641,16,299
2026-06-11T06:00:46.199677,35837,126647,5,0
2026-06-11T06:04:20.024899,35838,126647,36,327
2026-06-11T06:07:53.116434,35839,126650,15,649
2026-06-11T06:11:32.787442,35840,126655,82,360
2026-06-11T06:15:12.437731,35841,126661,86,458
2026-06-11T06:18:45.325830,35842,126667,10,76
2026-06-11T06:22:17.870996,35842,126668,10,0
2026-06-11T06:25:50.930348,35842,126668,11,1
2026-06-11T06:29:24.209439,35842,126668,12,226
2026-06-11T06:32:58.638309,35843,126672,110,266
2026-06-11T06:36:30.367744,35844,126675,17,210
2026-06-11T06:40:03.090224,35845,126678,13,67
2026-06-11T06:43:36.089472,35845,126679,15,79
2026-06-11T06:47:08.988667,35845,126679,13,0
2026-06-11T06:50:42.133795,35846,126679,10,144
2026-06-11T06:54:22.322203,35847,126681,30,239
2026-06-11T06:57:55.185765,35847,126684,13,66
2026-06-11T07:01:31.416277,35848,126687,34,129
2026-06-11T07:05:04.357773,35848,126691,6,38
2026-06-11T07:12:10.865618,35850,126691,26,234
2026-06-11T07:15:50.829960,35851,126694,43,258
2026-06-11T07:19:24.226000,35851,126697,16,354
2026-06-11T07:23:02.292768,35852,126699,57,325
2026-06-11T07:26:40.920473,35853,126704,43,242
2026-06-11T07:30:14.102530,35855,126707,13,267
2026-06-11T07:33:47.024648,35856,126710,16,245
2026-06-11T07:37:20.348962,35857,126719,48,202
2026-06-11T07:40:52.962422,35857,126725,14,76
2026-06-11T07:44:33.729425,35858,126725,97,492
2026-06-11T07:48:06.251166,35858,126732,10,72
2026-06-11T07:51:44.613148,35859,126732,46,283
2026-06-11T07:55:22.513546,35860,126736,37,219
2026-06-11T07:59:01.248105,35861,126739,95,446
2026-06-11T08:02:33.773140,35861,126746,11,0
2026-06-11T08:06:06.748971,35861,126746,8,0
2026-06-11T08:09:39.947256,35861,126748,13,103
2026-06-11T08:13:12.878311,35861,126748,10,114
2026-06-11T08:16:46.927336,35861,126748,16,966
2026-06-11T08:20:18.916095,35861,126748,13,0
2026-06-11T08:23:51.827778,35861,126748,33,1
2026-06-11T08:27:24.908333,35861,126748,13,0
2026-06-11T08:30:57.764704,35861,126753,5,0
2026-06-11T08:34:30.770945,35861,126753,5,0
2026-06-11T08:38:05.476748,35862,126753,132,244
2026-06-11T08:41:37.434500,35862,126754,20,259
2026-06-11T08:45:09.934471,35863,126754,10,0
2026-06-11T08:48:43.688938,35864,126754,10,738
2026-06-11T08:52:15.880199,35864,126759,4,0
2026-06-11T08:55:48.881521,35864,126759,4,0
2026-06-11T08:59:21.974223,35864,126759,7,0
2026-06-11T09:02:54.953825,35864,126759,4,0
2026-06-11T09:06:28.276396,35864,126759,17,110
2026-06-11T09:10:01.232081,35864,126759,18,99
2026-06-11T09:13:38.094198,35866,126760,65,302
2026-06-11T09:17:10.879888,35866,126769,5,173
2026-06-11T09:20:46.992435,35867,126769,18,97
2026-06-11T09:24:19.957851,35867,126772,5,0
2026-06-11T09:27:52.963201,35867,126772,3,0
2026-06-11T09:31:29.741622,35868,126772,31,165
2026-06-11T09:35:04.643864,35868,126777,112,314
2026-06-11T09:38:35.889353,35868,126777,7,0
2026-06-11T09:42:08.823361,35868,126777,11,0
2026-06-11T09:45:42.286626,35868,126777,20,333
2026-06-11T09:49:15.001673,35869,126777,45,0
2026-06-11T09:52:47.847543,35869,126777,8,0
2026-06-11T09:56:20.854712,35870,126777,10,0
2026-06-11T09:59:54.600270,35870,126782,58,1
2026-06-11T10:03:27.022288,35871,126782,26,0
2026-06-11T10:07:00.021916,35871,126782,8,0
2026-06-11T10:10:32.956792,35872,126782,8,1
2026-06-11T10:14:05.987920,35872,126782,14,0
2026-06-11T10:17:38.976502,35873,126782,9,0
2026-06-11T10:21:11.909520,35873,126782,7,0
2026-06-11T10:24:44.929718,35874,126782,7,0
2026-06-11T10:28:17.977745,35874,126786,4,67
2026-06-11T10:31:52.256937,35874,126786,153,0
2026-06-11T10:35:24.018371,35874,126788,8,1
2026-06-11T10:38:57.105819,35874,126788,17,0
2026-06-11T10:42:29.993322,35874,126788,4,0
2026-06-11T10:46:06.870448,35875,126788,24,128
2026-06-11T10:49:43.957178,35877,126792,140,736
2026-06-11T10:53:16.095401,35877,126814,8,90
2026-06-11T10:56:52.723783,35878,126814,23,130
2026-06-11T11:00:26.088207,35878,126818,6,238
2026-06-11T11:04:00.069418,35878,126818,54,293
2026-06-11T11:07:39.138299,35879,126818,68,236
2026-06-11T11:11:12.166287,35880,126821,17,149
2026-06-11T11:14:50.541911,35881,126823,49,454
2026-06-11T11:18:23.543917,35881,126829,19,340
2026-06-11T11:22:01.607054,35882,126829,56,360
2026-06-11T11:25:34.515306,35882,126834,9,147
2026-06-11T11:29:08.293469,35882,126834,36,445
2026-06-11T11:32:41.179013,35883,126838,80,145
2026-06-11T11:36:13.730795,35884,126839,23,151
2026-06-11T11:39:46.349563,35885,126841,10,0
2026-06-11T11:43:19.532693,35886,126841,10,150
2026-06-11T11:46:59.839642,35887,126843,57,255
2026-06-11T11:50:38.123555,35889,126847,79,545
2026-06-11T11:54:10.576358,35889,126854,17,0
2026-06-11T11:57:49.044276,35890,126854,35,192
2026-06-11T12:01:22.001151,35890,126861,7,67
2026-06-11T12:04:55.012945,35890,126861,8,74
2026-06-11T12:08:37.291720,35891,126861,388,1258
2026-06-11T12:12:08.162672,35892,126878,15,195
2026-06-11T12:15:40.791658,35892,126881,11,0
2026-06-11T12:19:13.730335,35892,126881,10,0
2026-06-11T12:22:47.050420,35893,126881,14,237
2026-06-11T12:26:19.742316,35894,126884,8,0
2026-06-11T12:29:52.810661,35894,126884,10,0
2026-06-11T12:33:33.414918,35895,126884,60,315
2026-06-11T12:37:06.019015,35895,126889,9,1
2026-06-11T12:40:47.313472,35896,126907,167,242
2026-06-11T12:44:24.932390,35897,126910,60,137
2026-06-11T12:47:57.951168,35898,126912,15,80
2026-06-11T12:51:30.833487,35898,126913,11,81
2026-06-11T12:55:03.890122,35898,126913,9,87
2026-06-11T12:58:36.828777,35898,126913,8,89
2026-06-11T13:02:09.721555,35898,126913,10,0
2026-06-11T13:05:43.552902,35899,126913,15,285
2026-06-11T13:09:16.394350,35900,126923,32,186
2026-06-11T13:12:56.398036,35901,126925,36,211
2026-06-11T13:16:29.714290,35901,126929,17,275
2026-06-11T13:20:02.212379,35901,126929,10,0
2026-06-11T13:23:42.385423,35902,126929,30,179
2026-06-11T13:27:15.544089,35902,126932,15,172
2026-06-11T13:30:51.927912,35903,126936,14,95
2026-06-11T13:34:25.247914,35903,126939,14,182
2026-06-11T13:38:05.931492,35905,126939,121,262
2026-06-11T13:41:46.041608,35906,126942,224,1493
2026-06-11T13:45:16.703880,35907,126959,22,260
2026-06-11T13:48:49.829054,35907,126962,20,257
2026-06-11T13:52:23.038278,35907,126962,12,632
2026-06-11T13:56:01.638517,35908,126962,117,790
2026-06-11T13:59:34.234758,35908,126971,15,163
2026-06-11T14:03:11.075537,35913,126975,72,441
2026-06-11T14:06:44.671402,35913,126987,40,229
2026-06-11T14:10:17.113610,35913,126987,15,275
2026-06-11T14:13:57.644249,35914,126987,90,525
2026-06-11T14:17:30.551301,35914,126993,21,251
2026-06-11T14:21:08.779443,35915,126993,65,377
2026-06-11T14:24:42.333886,35917,126998,13,801
2026-06-11T14:28:14.425418,35917,127004,15,1
2026-06-11T14:31:51.203796,35918,127006,13,70
2026-06-11T14:36:17.360699,35935,127008,5007,40312
2026-06-11T14:39:08.747953,35936,127632,33,193
2026-06-11T14:42:41.290518,35937,127635,9,0
2026-06-11T14:46:14.094915,35937,127635,8,0
2026-06-11T14:49:55.071230,35938,127635,37,237
2026-06-11T14:53:28.051059,35938,127638,13,202
