timestamp,llm_generation_time,llm_generated_edges,llm_correct_generated_edges,neo4j_retrieval_time_window,graph_nodes_window,graph_edges_window,db_hits_window,neo4j_retrieval_time_neighbourhood,graph_nodes_neighbourhood,graph_edges_neighbourhood,db_hits_neighbourhood,neo4j_retrieval_time_vector,graph_nodes_vector,graph_edges_vector,db_hits_vector,llm_insertion_time,llm_graph_nodes,llm_graph_edges
2026-06-10T22:15:55.470349,1799124.6357330019,3,3,73.375,35738.625,126086.5,0.0,532,35739,126087,0,5,35739,126087,0,166,35739,126089
2026-06-10T22:59:12.535450,2548384.4154510004,24,24,200.0,35739.0,126087.0,0.0,730,35739,126089,0,7,35739,126089,0,1009,35743,126096
2026-06-10T23:30:35.942425,1835324.7826780025,5,5,193.4,35739.8,126089.6,0.0,708,35743,126096,0,5,35743,126096,0,373,35748,126108
2026-06-11T00:03:51.604187,1945836.0596320017,5,5,179.71428571428572,35744.857142857145,126098.71428571429,0.0,277,35748,126108,0,6,35748,126108,0,363,35757,126157
2026-06-11T00:35:03.839032,1824411.4109210023,5,5,212.125,35751.75,126118.5,0.0,543,35757,126157,0,4,35757,126157,0,367,35763,126179
2026-06-11T01:04:12.191231,1699669.2031899984,4,4,179.85714285714286,35760.71428571428,126161.85714285714,0.0,1405,35763,126179,0,7,35763,126179,0,515,35770,126216
2026-06-11T01:34:49.106882,1788909.5953529978,5,5,185.5,35767.25,126197.125,0.0,386,35770,126216,0,6,35770,126216,0,375,35777,126245
2026-06-11T02:03:04.137127,1647489.6002820022,3,3,162.85714285714286,35774.57142857143,126229.14285714286,0.0,407,35777,126245,0,5,35777,126245,0,240,35782,126309
2026-06-11T02:34:36.346422,1845038.831869999,5,5,180.57142857142858,35779.57142857143,126258.71428571429,0.0,471,35783,126311,0,4,35783,126311,0,161,35793,126391
2026-06-11T03:00:10.527467,1486646.577763997,4,4,210.6,35788.4,126362.0,0.0,162,35793,126391,0,4,35793,126391,0,295,35798,126409
2026-06-11T03:29:30.580764,1693967.6895469965,4,4,158.28571428571428,35796.0,126400.42857142857,0.0,289,35798,126409,0,5,35798,126409,0,173,35802,126425
2026-06-11T03:59:39.123621,1760865.046537998,3,3,164.33333333333334,35800.22222222222,126416.22222222222,0.0,647,35803,126430,0,6,35803,126430,0,177,35809,126460
2026-06-11T04:31:04.136551,1744753.3948479977,4,4,164.0,35805.857142857145,126442.57142857143,0.0,363,35809,126460,0,4,35809,126460,0,166,35819,126526
2026-06-11T05:00:59.764620,1597145.4870599993,4,4,190.71428571428572,35814.42857142857,126489.85714285714,0.0,434,35819,126526,0,4,35819,126526,0,315,35825,126549
2026-06-11T05:32:20.967208,1834079.205781003,6,6,153.28571428571428,35822.57142857143,126534.42857142857,0.0,151,35825,126549,0,5,35825,126549,0,412,35832,126631
2026-06-11T06:00:39.943933,1650751.655027998,3,3,193.25,35827.75,126561.875,0.0,550,35832,126631,0,7,35832,126631,0,514,35837,126647
2026-06-11T06:30:26.767809,1739263.404583995,4,4,184.0,35834.5,126638.375,0.0,586,35837,126647,0,3,35837,126647,0,299,35842,126672
2026-06-11T06:59:45.073956,1710802.6910749977,4,4,182.5,35840.625,126660.625,0.0,321,35842,126672,0,5,35842,126672,0,125,35847,126687
2026-06-11T07:36:13.243458,1871280.8888260042,8,8,160.57142857142858,35846.142857142855,126682.14285714286,0.0,286,35848,126691,0,10,35848,126691,0,827,35856,126719
2026-06-11T08:08:34.372760,1893809.5786060002,3,3,187.71428571428572,35851.28571428572,126699.57142857143,0.0,395,35856,126719,0,7,35856,126719,0,274,35861,126748
2026-06-11T08:29:11.590522,1189856.3639349958,5,5,169.14285714285714,35859.57142857143,126737.57142857143,0.0,219,35861,126748,0,3,35861,126748,0,230,35861,126753
2026-06-11T08:49:23.594006,884845.7030219943,3,3,150.2,35861.0,126749.0,0.0,920,35861,126753,0,9,35861,126753,0,243,35864,126759
2026-06-11T09:10:54.371280,470941.91571000556,4,4,125.28571428571429,35863.57142857143,126757.0,0.0,227,35864,126759,0,4,35864,126759,0,50,35864,126760
2026-06-11T09:57:44.940762,1578288.9026529957,5,5,102.42857142857143,35865.857142857145,126767.42857142857,0.0,351,35867,126772,0,4,35867,126772,0,980,35870,126782
2026-06-11T10:28:07.913097,1774620.9660239983,4,4,166.14285714285714,35868.42857142857,126777.0,0.0,777,35870,126782,0,7,35870,126782,0,925,35874,126786
2026-06-11T10:32:23.924684,209345.40305299743,3,3,155.5,35872.375,126782.5,0.0,109,35874,126786,0,10,35874,126786,0,180,35874,126788
2026-06-11T11:29:39.052571,1756673.2983789989,5,5,73.16666666666667,35875.333333333336,126797.33333333333,0.0,281,35878,126818,0,5,35878,126818,0,130,35882,126838
2026-06-11T11:58:30.383227,1682116.4606269887,4,4,166.875,35880.375,126826.375,0.0,919,35882,126838,0,7,35882,126838,0,857,35890,126861
2026-06-11T12:37:58.028157,1992769.889232004,20,20,195.16666666666666,35887.5,126847.0,0.0,278,35890,126861,0,6,35890,126861,0,838,35895,126907
2026-06-11T13:07:24.695221,1717280.8232149982,6,6,151.9,35892.8,126879.2,0.0,642,35895,126907,0,4,35895,126907,0,1479,35899,126923
2026-06-11T13:30:38.518000,1346694.2236339964,5,5,196.66666666666666,35897.5,126911.5,0.0,191,35899,126923,0,6,35899,126923,0,512,35902,126936
2026-06-11T14:02:55.776940,1720675.776780001,4,4,166.83333333333334,35901.5,126931.0,0.0,628,35903,126939,0,5,35903,126939,0,206,35908,126975
2026-06-11T14:31:12.883991,1648943.0846640025,3,3,178.0,35907.0,126957.11111111111,0.0,778,35913,126987,0,8,35913,126987,0,114,35917,127006
2026-06-11T15:04:02.392458,1728131.5558080096,5,5,176.5,35915.5,126995.83333333333,0.0,424,35918,127008,0,7,35918,127008,0,182,35939,127647
2026-06-11T15:34:08.355518,1757510.4477300048,4,4,171.375,35937.875,127638.875,0.0,298,35940,127649,0,4,35940,127649,0,1136,35947,127694
2026-06-11T16:00:33.999423,1536213.453948003,3,3,198.875,35943.875,127669.875,0.0,911,35947,127694,0,7,35947,127694,0,969,35952,127720
2026-06-11T16:30:24.101061,1726514.5647199969,4,4,186.16666666666666,35950.166666666664,127706.5,0.0,404,35952,127720,0,7,35952,127720,0,219,35961,127747
2026-06-11T16:56:55.833410,1543368.2109329966,3,3,152.25,35957.75,127735.75,0.0,1040,35961,127747,0,5,35961,127747,0,119,35967,128438
2026-06-11T17:36:10.076724,1785607.5487269992,5,5,146.2,35966.2,128437.4,0.0,552,35968,128468,0,10,35968,128468,0,1256,35995,128715
2026-06-11T18:05:29.507655,1711365.9170460014,4,4,171.0,35990.75,128677.0,0.0,892,35995,128715,0,3,35995,128715,0,188,35997,128719
2026-06-11T18:34:35.250379,1697320.433369998,4,4,168.0,35996.28571428572,128715.0,0.0,936,35997,128719,0,6,35997,128719,0,715,36001,128729
2026-06-11T19:04:55.210288,1772524.0741690067,5,5,179.66666666666666,35998.666666666664,128721.83333333333,0.0,441,36001,128729,0,7,36001,128729,0,206,36005,128741
2026-06-11T19:34:37.973609,1734999.4374130038,5,5,173.14285714285714,36001.57142857143,128730.14285714286,0.0,690,36005,128741,0,7,36005,128741,0,208,36032,128792
2026-06-11T20:04:43.051048,1758015.2007819996,3,3,195.66666666666666,36018.833333333336,128765.83333333333,0.0,276,36032,128792,0,6,36032,128792,0,157,36037,128822
2026-06-11T20:34:17.641204,1726366.3515070076,4,4,161.88888888888889,36035.22222222222,128809.44444444444,0.0,875,36037,128822,0,5,36037,128822,0,448,36037,128825
2026-06-11T21:06:20.949096,1767937.931192995,5,5,178.5,36037.0,128822.375,0.0,987,36037,128825,0,4,36037,128825,0,208,36037,128826
2026-06-11T21:37:44.635807,1835996.233833008,5,5,175.125,36037.0,128825.0,0.0,525,36037,128826,0,4,36037,128826,0,256,36037,128831
2026-06-11T22:09:34.812669,1861082.7552710106,5,5,192.85714285714286,36037.0,128826.0,0.0,896,36037,128831,0,11,36037,128831,0,1175,36037,128836
2026-06-11T22:41:20.591694,1857570.872751996,5,5,203.75,36037.0,128831.0,0.0,1039,36037,128836,0,4,36037,128836,0,189,36037,128840
2026-06-11T23:14:15.815528,1927550.7150880003,4,4,209.88888888888889,36037.0,128836.0,0.0,365,36037,128840,0,3,36037,128840,0,340,36037,128844
2026-06-11T23:46:22.501589,1878644.1720809962,5,5,190.22222222222223,36037.0,128840.0,0.0,811,36037,128844,0,4,36037,128844,0,253,36037,128849
2026-06-12T00:18:50.389393,1898026.232675009,4,4,192.22222222222223,36037.0,128844.0,0.0,1078,36037,128849,0,7,36037,128849,0,182,36037,128853
2026-06-12T00:49:21.574268,1782742.0347189908,4,4,209.75,36037.0,128849.0,0.0,1161,36037,128853,0,4,36037,128853,0,330,36037,128857
2026-06-12T01:22:46.659766,1956883.1861269865,5,5,184.625,36037.0,128853.0,0.0,979,36037,128857,0,4,36037,128857,0,208,36037,128861
2026-06-12T01:56:15.966458,1960835.1539109861,7,7,194.0,36037.0,128857.0,0.0,763,36037,128861,0,9,36037,128861,0,289,36037,128865
2026-06-12T02:26:41.440276,1777238.8622869912,5,5,189.8,36037.0,128861.4,0.0,591,36037,128865,0,4,36037,128865,0,738,36037,128868
2026-06-12T02:56:41.182573,1697992.8089979948,3,3,178.14285714285714,36037.0,128865.42857142857,0.0,577,36037,128868,0,6,36037,128868,0,125,36037,128871
2026-06-12T03:25:50.129404,1701010.1659919892,4,4,183.625,36037.0,128868.0,0.0,797,36037,128871,0,5,36037,128871,0,159,36037,128874
2026-06-12T03:57:18.518858,1840376.115728999,7,7,188.57142857142858,36037.0,128871.0,0.0,828,36037,128874,0,6,36037,128874,0,283,36037,128880
2026-06-12T04:29:02.134670,1854508.1464090035,5,5,191.0,36037.0,128874.0,0.0,1235,36037,128880,0,4,36037,128880,0,780,36037,128885
2026-06-12T04:59:32.195947,1781584.6691220067,5,5,180.22222222222223,36037.0,128880.0,0.0,1039,36037,128885,0,4,36037,128885,0,146,36037,128888
2026-06-12T05:31:18.468346,1815839.374217001,5,5,186.75,36037.0,128885.375,0.0,313,36037,128888,0,7,36037,128888,0,499,36037,128893
2026-06-12T06:01:19.745281,1753560.1663929992,3,3,178.71428571428572,36037.0,128888.0,0.0,660,36037,128893,0,4,36037,128893,0,63,36037,128894
2026-06-12T06:30:56.826018,1728843.1667760015,4,4,190.44444444444446,36037.0,128893.0,0.0,700,36037,128894,0,5,36037,128894,0,468,36037,128898
2026-06-12T06:54:12.201414,1348134.6655990055,5,5,169.125,36037.0,128894.0,0.0,241,36037,128898,0,7,36037,128898,0,274,36040,128912
2026-06-12T07:27:14.274859,1741713.9612649917,5,5,176.5,36039.166666666664,128905.5,0.0,387,36040,128912,0,4,36040,128912,0,151,36046,128931
2026-06-12T07:57:19.057873,1755586.3908260071,5,5,153.71428571428572,36044.0,128924.42857142857,0.0,917,36046,128931,0,4,36046,128931,0,1026,36047,128935
2026-06-12T08:29:22.646656,1875360.5437740043,5,5,200.0,36046.71428571428,128931.0,0.0,527,36047,128935,0,9,36047,128935,0,281,36047,128940
2026-06-12T09:01:46.533771,1894571.5685650066,6,6,203.22222222222223,36047.0,128935.0,0.0,470,36047,128940,0,5,36047,128940,0,739,36047,128944
